animal_name,sex,genotype,fatmass,mean_experimental_age,freewater,leanmass,totalwater
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,2.21,10,0.14,19.15,15.53
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,3.49,20,0.08,21.51,17.1
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,7.12,48,0.17,23.19,18.26
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,5.01,64,0.28,23.07,19.23
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,5.35,72,0.2,23.52,18.87
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,2.76,10,0,19.65,15.83
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,4.4,20,0.11,20.42,16.2
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,7.95,48,0.2,22.27,17.92
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,1.3,10,0.22,27.5,22.43
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,2.83,20,0.04,28.31,22.14
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,3.87,48,0.05,26.93,21.67
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,8.24,64,0.25,28.63,22.28
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,9.13,72,0.12,28.88,22.34
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,1.43,10,0.13,27.33,21.73
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,3.9,20,0.28,27.95,22.55
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,9.38,48,0.33,29.49,24.14
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,12.4,64,0.49,30.08,23.94
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,13.27,72,0.13,30.31,23.75
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,2.39,10,0.09,22.94,18.25
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,2.98,20,0.07,24.79,19.36
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,4.36,48,0,28.25,22.84
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,5.77,64,0.12,28.59,22.56
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,5.81,72,0.14,27.9,21.95
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,2.67,10,0.19,24.84,20.05
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,4.97,20,0.12,27.05,21.43
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,4.86,48,0.47,31.22,25.18
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,8.13,64,0.12,30.13,23.95
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,8.01,72,0.09,30.06,23.89
TDP43-Q331K-B6J-IC/3.3j,m,TDP-43_Q331K:WT,2.33,10,0.02,24.26,19.14
TDP43-Q331K-B6J-IC/3.3j,m,TDP-43_Q331K:WT,4.69,20,0.09,25.51,20.06
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,1.91,10,0.25,27.35,21.78
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,3.85,20,0.06,28.68,22.6
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,10.56,48,0.16,28.43,22.8
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,13.77,64,0.24,28.79,23.56
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,14.08,72,0.09,28.55,24.12
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,1.54,10,0.13,24.74,19.78
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,2.23,20,0.16,28.09,22.33
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,8.41,48,0.13,28.52,22.47
TDP43-Q331K-B6J-IC/4.2n,m,TDP-43_Q331K:WT,2.18,10,0.26,24.23,19.14
TDP43-Q331K-B6J-IC/4.2n,m,TDP-43_Q331K:WT,3.32,20,0,25.24,19.81
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,1.68,10,0.12,25.38,20.44
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,2.91,20,0.22,26.98,21.29
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,6.88,48,0.18,26.85,21.56
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,9.04,64,0.17,27.4,21.66
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,9.3,72,0.09,27.51,21.69
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,1.99,10,0.34,26.26,20.96
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,3.35,20,0.37,27.82,22.1
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,9.27,48,0.06,27.83,22.59
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,13.57,64,0.25,27.9,23.81
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,13.97,72,0,28.64,23.91
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,3.21,10,0.21,23.26,18.18
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,5.18,20,0.19,25.36,19.71
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,2.24,10,0.23,25.33,20.41
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,5.39,20,0.26,26.93,20.97
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,13.75,48,0.22,27.5,21.36
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,17.03,64,0.13,28.67,23.76
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,17.44,72,0.11,29.86,23.12
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,2.27,10,0.14,24.1,19.34
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,3.71,20,0.11,26.66,20.89
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,2.07,10,0.26,26.36,20.98
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,3.15,20,0.15,28.58,22.34
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,4.7,48,0.19,23.32,22.48
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,5.79,64,0.04,28.44,22.36
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,6.33,72,0.1,27.9,22.05
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,1.98,10,0.25,29.72,23.83
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,3.81,20,0.09,31.79,25.53
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,9.49,48,0.15,30.67,24.31
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,11.83,64,0.28,31.55,26.22
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,11.68,72,0.16,31.02,26.31
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,2.85,10,0.28,18.86,15.41
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,7.36,20,0.08,20.43,16.13
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,17.5,48,0.1,21.27,16.43
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,25.76,64,0.18,24.08,19.55
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,30.08,72,0.14,25.82,21.07
