animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,39.2
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,11.1
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,32.2
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,39
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,13
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,14.2
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,8.7
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,0
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N1,24.7
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N2,20.4
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N3,9.1
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W1,11.7
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W2,9.2
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W3,28.3
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,15.7
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,35.1
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,1.5
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,32.9
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,13.7
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,25
