animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,12.4
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,10.6
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,3.2
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N1,28.5
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N2,23.4
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N3,9.8
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W1,12
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W2,13.2
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W3,2.2
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,31.6
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,22.1
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,19.4
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,25
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,12.5
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,17.2
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,19.6
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,4.6
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,8.4
