animal_name,genotype,sex,smell,time
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N1,48.4
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N2,31.9
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N3,6
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W1,18.9
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W2,1.1
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W3,0
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F1,37.4
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F2,10.3
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F3,3.4
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W1,29.8
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W2,12
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W3,0
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N1,46.8
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N2,27.3
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N3,18.8
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W2,
