animal_name,genotype,sex,smell,time
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F1,65.5
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F2,33.6
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F3,29.8
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N1,33.9
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N2,47.7
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N3,24.2
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W1,28.4
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W2,30.1
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W3,5
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F1,20.4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F2,16.9
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F3,21.6
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N1,15.8
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N2,18.4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N3,7.7
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W1,31.1
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W2,4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W3,4.9
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F1,25.7
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F2,9.6
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F3,2.3
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N1,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N2,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N3,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W1,19.4
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W2,0.3
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W3,0
